appname,freq,correct_appname
d  whatsapp,5,whatsapp
ww wattpad,5,wattpad
e  youtube ,5,youtube
last day on earth  survival,5,
puoi impostare timer giornalieri,5,
g google,5,google
o whatsapp,5,whatsapp
cooking fever,5,
e  ethica,5,ethica
safar,5,safari
os tiktok,5,tiktok
orologio 5,5,orologio
happy color,5,
onedrive,5,
ss rider,4,
ao,4,
fitbit,4,
melke,4,
fm  whatsapp,4,
qd whatsapp y,4,
db legends,4,
c  melee,4,
genshin impact,4,
samsung music,4,
qs  whatsapp,4,
4a nessuna 0,4,
codycross,4,
r   whatsapp,4,
dc tiktok,4,
salute,4,
27 marzo,4,
yubo,4,
r eurosport,4,
spotify x,4,
4 onefootball,4,
i snapchat,4,
a  instagram,4,
instagram 2,4,
youtube r,4,
ct,4,
al,4,
we,4,
3 whatsapp,4,
os,4,
messaggi x,4,
jc tiktok,4,
f  smoq games 22,4,
helix jump x,4,
es ethica,4,
es animalrestaurant,4,
helsana coach,4,
facebook,4,
scacchi,4,
itesso ,4,
istrip,4,
camera ,4,
on,4,
google x,4,
vy twitter,4,
a nessuna 0,4,
wa fotocamera y,4,
reverso context,4,
so game launcher ,4,
a instagram,4,
whatsapp   2,4,
smartthings ,4,
gs googie,4,
ee,4,
paint by number,4,
7 whatsapp,4,
fw whatsapp,4,
roblox,4,
outlook,4,
7 whatsapp 4,4,
a castle crush,4,
gallery,4,
0  instagram ,4,
snapenat,4,
galaxy store ,4,
g  orologio ,4,
0 tiktok y,4,
in whatsapp,4,
wa fotocamera,4,
c,4,
0 netflix y,4,
neuron,4,
25 marzo,4,
a 19,4,
legions,3,
e  chrome   ,3,
sunrise upc tv,3,
c   tiktok,3,
amerigo,3,
video star,3,
7 promemoria,3,
e ethica,3,
google maps,3,
oo pp,3,
oe whatsapp y,3,
cs ttok,3,
happy color x,3,
cs tio,3,
ai,3,
q quizlet,3,
hash music player,3,
madfut,3,
impostazioni y,3,
2  youtube ,3,
24 marzo,3,
lnstaqc ge,3,
c  fotocamera,3,
o  youtube,3,
a 11,3,
gs google ,3,
ethica 7,3,
dom,3,
hay da,3,
em youliihe,3,
b tiktok,3,
d,3,
2  whatsapp,3,
office,3,
